"","Fecha","Precio"
"1310",2018-04-18,7944.430176
"1311",2018-04-19,8159.27002
"1312",2018-04-20,8286.879883
"1313",2018-04-21,8848.790039
"1314",2018-04-22,8925.05957
"1315",2018-04-23,8794.389648
"1316",2018-04-24,8934.339844
"1317",2018-04-25,9701.030273
"1318",2018-04-26,8867.320313
"1319",2018-04-27,9290.629883
"1320",2018-04-28,8939.269531
"1321",2018-04-29,9346.410156
"1322",2018-04-30,9426.110352
"1323",2018-05-01,9251.469727
"1324",2018-05-02,9104.599609
"1325",2018-05-03,9233.969727
"1326",2018-05-04,9695.5
"1327",2018-05-05,9700.280273
"1328",2018-05-06,9845.30957
"1329",2018-05-07,9645.669922
"1330",2018-05-08,9380.870117
"1331",2018-05-09,9223.730469
"1332",2018-05-10,9325.959961
"1333",2018-05-11,9052.959961
"1334",2018-05-12,8441.44043
"1335",2018-05-13,8515.490234
"1336",2018-05-14,8713.099609
"1337",2018-05-15,8705.19043
"1338",2018-05-16,8504.410156
"1339",2018-05-17,8370.049805
"1340",2018-05-18,8091.830078
"1341",2018-05-19,8255.730469
"1342",2018-05-20,8246.990234
"1343",2018-05-21,8522.330078
"1344",2018-05-22,8419.870117
"1345",2018-05-23,8037.080078
"1346",2018-05-24,7561.120117
"1347",2018-05-25,7592.299805
"1348",2018-05-26,7486.47998
"1349",2018-05-27,7362.080078
"1350",2018-05-28,7371.310059
"1351",2018-05-29,7129.459961
"1352",2018-05-30,7469.72998
"1353",2018-05-31,7406.149902
"1354",2018-06-01,7500.700195
"1355",2018-06-02,7536.720215
"1356",2018-06-03,7632.089844
"1357",2018-06-04,7722.529785
"1358",2018-06-05,7500.899902
"1359",2018-06-06,7625.970215
"1360",2018-06-07,7650.819824
"1361",2018-06-08,7685.140137
"1362",2018-06-09,7632.52002
"1363",2018-06-10,7499.549805
"1364",2018-06-11,6799.290039
"1365",2018-06-12,6905.819824
"1366",2018-06-13,6596.879883
"1367",2018-06-14,6342.75
"1368",2018-06-15,6674.080078
"1369",2018-06-16,6455.450195
"1370",2018-06-17,6545.529785
"1371",2018-06-18,6510.069824
"1372",2018-06-19,6742.390137
"1373",2018-06-20,6770.759766
"1374",2018-06-21,6780.089844
"1375",2018-06-22,6737.879883
"1376",2018-06-23,6090.100098
"1377",2018-06-24,6164.279785
"1378",2018-06-25,6171.970215
"1379",2018-06-26,6253.549805
"1380",2018-06-27,6084.399902
"1381",2018-06-28,6153.160156
"1382",2018-06-29,5898.129883
"1383",2018-06-30,6214.220215
"1384",2018-07-01,6411.680176
"1385",2018-07-02,6380.379883
"1386",2018-07-03,6596.660156
